"year","n_yamagata_global","n_victoria_global","year_total_global","fraction_yamagata_global","fraction_victoria_global"
1970,1,0,1,1,0
1971,0,1,1,0,1
1972,0,1,1,0,1
1973,1,4,5,0.2,0.8
1974,0,1,1,0,1
1975,0,2,2,0,1
1976,0,3,3,0,1
1977,0,1,1,0,1
1979,1,1,2,0.5,0.5
1981,4,1,5,0.8,0.2
1982,2,1,3,0.666666666666667,0.333333333333333
1983,2,1,3,0.666666666666667,0.333333333333333
1984,1,4,5,0.2,0.8
1985,1,8,9,0.111111111111111,0.888888888888889
1986,0,4,4,0,1
1987,0,9,9,0,1
1988,4,9,13,0.307692307692308,0.692307692307692
1989,5,30,35,0.142857142857143,0.857142857142857
1990,7,7,14,0.5,0.5
1991,10,4,14,0.714285714285714,0.285714285714286
1992,15,11,26,0.576923076923077,0.423076923076923
1993,24,19,43,0.558139534883721,0.441860465116279
1994,47,8,55,0.854545454545454,0.145454545454546
1995,42,3,45,0.933333333333333,0.0666666666666667
1996,63,14,77,0.818181818181818,0.181818181818182
1997,56,51,107,0.523364485981308,0.476635514018692
1998,89,8,97,0.917525773195876,0.0824742268041238
1999,141,8,149,0.946308724832215,0.0536912751677853
2000,173,17,190,0.910526315789474,0.0894736842105263
2001,140,68,208,0.673076923076923,0.326923076923077
2002,69,455,524,0.131679389312977,0.868320610687023
2003,80,99,179,0.446927374301676,0.553072625698324
2004,242,118,360,0.672222222222222,0.327777777777778
2005,198,454,652,0.303680981595092,0.696319018404908
2006,152,480,632,0.240506329113924,0.759493670886076
2007,390,362,752,0.518617021276596,0.481382978723404
2008,319,805,1124,0.283807829181495,0.716192170818505
2009,258,987,1245,0.207228915662651,0.792771084337349
2010,248,1232,1480,0.167567567567568,0.832432432432432
2011,677,1327,2004,0.337824351297405,0.662175648702595
2012,1518,837,2355,0.644585987261146,0.355414012738854
2013,1626,549,2175,0.747586206896552,0.252413793103448
2014,2646,737,3383,0.782146024238841,0.217853975761159
2015,2130,2751,4881,0.436385986478181,0.563614013521819
2016,2867,2677,5544,0.517135642135642,0.482864357864358
2017,5445,1504,6949,0.78356598071665,0.21643401928335
2018,1831,3534,5365,0.341286113699907,0.658713886300093
2019,374,2054,2428,0.154036243822076,0.845963756177924
